Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife
0 days 01:18:52.226000,3,0 days 00:01:16.146000,18,"","",0 days 00:00:23.257000,0 days 00:00:30.116000,0 days 00:00:22.773000,245.0,241.0,258.0,310.0,medium,15.0
0 days 01:20:16.720000,3,0 days 00:01:24.494000,19,"",0 days 01:20:13.264000,0 days 00:00:17.906000,0 days 00:00:37.096000,0 days 00:00:29.492000,281.0,190.0,"",227.0,medium,16.0
0 days 01:22:26.149000,3,0 days 00:02:09.429000,20,0 days 01:20:58.550000,"",0 days 00:01:05.631000,0 days 00:00:37.625000,0 days 00:00:26.173000,262.0,177.0,279.0,260.0,medium,17.0
0 days 01:23:32.179000,3,0 days 00:01:06.030000,21,"","",0 days 00:00:16.808000,0 days 00:00:29.172000,0 days 00:00:20.050000,309.0,242.0,283.0,310.0,medium,18.0
0 days 01:25:02.686000,3,0 days 00:01:30.507000,22,"","",0 days 00:00:22.019000,0 days 00:00:40.886000,0 days 00:00:27.602000,209.0,189.0,280.0,223.0,medium,19.0
0 days 01:26:08.546000,3,0 days 00:01:05.860000,23,"","",0 days 00:00:16.663000,0 days 00:00:29.153000,0 days 00:00:20.044000,310.0,245.0,284.0,309.0,medium,20.0
0 days 01:27:22.666000,3,0 days 00:01:14.120000,24,"",0 days 01:27:19.214000,0 days 00:00:18.099000,0 days 00:00:31.103000,0 days 00:00:24.918000,277.0,233.0,"",289.0,medium,21.0
0 days 01:38:23.169000,3,"",25,0 days 01:37:02.125000,"","",0 days 00:00:37.517000,0 days 00:00:24.532000,267.0,209.0,277.0,289.0,medium,22.0
0 days 01:39:30.555000,3,0 days 00:01:07.386000,26,"","",0 days 00:00:16.903000,0 days 00:00:29.654000,0 days 00:00:20.829000,308.0,240.0,280.0,309.0,medium,23.0
0 days 01:40:36.656000,3,0 days 00:01:06.101000,27,"","",0 days 00:00:16.694000,0 days 00:00:29.158000,0 days 00:00:20.249000,310.0,241.0,287.0,310.0,medium,24.0
0 days 01:41:48.211000,3,"",28,"",0 days 01:41:48.211000,0 days 00:00:22.171000,0 days 00:00:37.681000,0 days 00:00:20.249000,192.0,201.0,287.0,234.0,medium,25.0
0 days 00:12:27.494000,63,"",1,0 days 00:10:59.993000,0 days 00:12:24.064000,"",0 days 00:00:37.389000,0 days 00:00:30.469000,260.0,209.0,"",270.0,soft,1.0
0 days 00:36:10.727000,63,"",2,0 days 00:34:51.715000,"","",0 days 00:00:35.381000,0 days 00:00:24.661000,283.0,210.0,253.0,281.0,intermediate,1.0
0 days 00:37:43.213000,63,0 days 00:01:32.486000,3,"",0 days 00:37:39.737000,0 days 00:00:20.242000,0 days 00:00:38.284000,0 days 00:00:33.960000,234.0,159.0,"",295.0,intermediate,2.0
